"","Made","Dist","Home","Stadium..","Indoor","Grass","Playoff","Time","Qtr","Marg","X.Marg.","Temp","Precip","Precip.Bin","Dewpt","Humidity","H.T.wind","C.wind","Altitude","Wind","Denver","FG.ID","Backup","Def.PA"
"115",1,47,1,40,0,0,0,10,4,-6,6,66.9,0,0,46,0.47,3.3,3.3,1368,4.7,0,115,0,18.1
"116",1,27,1,2,1,0,0,39,2,14,14,72,0,0,52,0.5,0,0,1083,0,0,116,0,27.5
"117",0,32,0,2,1,0,0,15,3,-17,17,72,0,0,52,0.5,0,0,1083,0,0,117,1,20.3
"118",0,48,1,3,0,0,0,55,1,0,0,79,0,0,51,0.38,0,0,19,0,0,118,0,21.9
"119",1,38,0,3,0,0,0,31,2,0,0,79,0,0,53,0.4,1.3,3.2,19,3.5,0,119,0,15.3
"120",1,23,0,4,0,0,0,57,1,0,0,59,0.02,1,57,0.93,7.4,7.4,234,10.5,0,120,0,21.4
"121",1,35,0,4,0,0,0,45,1,3,3,59,0.02,1,57,0.93,7.4,7.4,234,10.5,0,121,0,21.4
"122",1,32,0,4,0,0,0,32,2,-1,1,57,0.02,1,54,0.89,6.1,14.8,234,16,0,122,0,21.4
"123",0,46,1,4,0,0,0,26,3,-2,2,57,0.01,1,54,0.89,4,9.6,234,10.4,0,123,0,24.3
"124",1,38,1,4,0,0,0,0,4,-2,2,57,0.01,1,54,0.89,3.5,8.5,234,9.2,0,124,0,24.3
"125",1,40,1,6,0,1,0,57,1,0,0,78.1,0,0,62,0.58,0,6.9,600,6.9,0,125,0,20.2
"126",1,43,1,6,0,1,0,51,1,3,3,78.1,0,0,62,0.58,0,6.9,600,6.9,0,126,0,20.2
"127",1,28,1,6,0,1,0,30,2,-1,1,79,0,0,62,0.56,3.1,7.5,600,8.1,0,127,0,20.2
"128",0,49,1,6,0,1,0,11,4,3,3,80.1,0,0,58,0.47,0,9.2,600,9.2,0,128,0,20.2
"129",1,35,0,6,0,1,0,3,4,-10,10,80.1,0,0,58,0.47,0,9.2,600,9.2,0,129,0,21.9
"130",1,21,0,6,0,1,0,0,4,0,0,80.1,0,0,58,0.47,0,9.2,600,9.2,0,130,0,21.9
"131",1,43,0,10,0,1,0,47,1,-7,7,73.9,0,0,44,0.34,0,9.2,5280,9.2,1,131,1,28
"132",1,27,1,10,0,1,0,32,2,4,4,75.9,0,0,44,0.32,5.7,5.7,5280,8.1,1,132,0,22.7
"133",0,51,0,10,0,1,0,30,2,7,7,75.9,0,0,44,0.32,5.7,5.7,5280,8.1,1,133,1,28
"134",1,34,1,10,0,1,0,17,3,5,5,75,0,0,46,0.36,0,15,5280,15,1,134,0,22.7
"135",0,43,0,10,0,1,0,2,4,-2,2,75.9,0,0,39,0.26,16.4,0,5280,16.4,1,135,1,28
"136",1,25,0,12,0,1,0,58,1,0,0,64,0,0,59,0.84,3.1,7.5,650,8.1,0,136,0,23.8
